sequence	16S_rRNA_Count	metadata_NSTI
000f6b1b0995179d4b082c45e1a370d0	1	0.335332
0017347312b0122c178e0f1e72443840	4	0.01908
0023543b0eabdd72f3e0ececca855c24	1	0.009484
003e0be32998b0c5f3c079020cf38833	4	0.012279
00591147f68065eb8bfc1da44e6e9e09	1	0.027689
006ca2e73bb2f05ef1a8b7a039fea854	1	0.037689
009480c38f81a26f1c4e830e9c93caf4	1	0.250301
00aee1cdd69b72e6af6649f0b9a17565	4	0.052498
00b5b0ef5273ae62caedc90a88c3ed07	1	0.070045
00d11ba4bdece6e078dabee245079d6a	3	0.006106
00e9b45538a4e0a020ecce158218f2c7	1	0.00015
011793649d5f0f0952e9c91201297a48	1	0.021537
011fcefeed135a1c30ed81f99c20a431	1	0.397981
012d408b4503b4f6568da0e512f04b1d	2	0.039545
012ebb2d9287948c4fa27a7376fb86c9	1	0.030009
01306e5b21571b53dc69cee276071191	1	0.247418
0145814ac072850b3616846415310b51	3	0.119573
016932085bcec9951e22bb5ba3d637dc	1	0.032983
017d5ce69894eab00cad2d33cb8f1f15	1	0.01334
017fec07073c6ac27af5e1667e88ac43	1	0.253855
01acc493c50f435d4a8c1fa2e5998c5f	1	0.080875
01b56e939dd2ec0a26e41ef1fbd5b0d2	1	0.026322
01c05dc19a133b57b4f2ea45e42c5bcf	3	0.014377
01c3dbc2623a28cc5af81b02f60e416d	1	0.111234
01c4c628b5dcf340bc1fa2dd0a8508bf	1	0.04053
0246476b98661296d40ccc0a5ae7f4a2	2	0.037548
0259b24b66f9e0a9f70728bb292b5c48	1	0.03449
026d9ddc553f6d51ba046ceb8d6187c7	2	0.410191
0276ac121400526478dbb855774ea47c	4	0.136074
02804d6762e4ecce84504e630a1a7956	1	0.027752
02953716680164735be0c53c5a57e24f	1	0.026816
02a1d8e31fa8376a3626e095a79eebf8	1	2.103305
02bc6094bc2d0de2b29d86bc964a7323	1	0.065042
02c96440502d8b50758a75373a7c4887	1	0.035375
02eaed93a96d86614eb08a8c87b3e73b	1	0.211072
039c875b6f5bf2fda58ecc58b3f81bd5	1	0.053902
03ada25116a9403861ae56842e3e04b8	1	0.015781
03cb76fb185863c5efae8919d61aeed3	1	0.297632
03d0b23f943295106f3caf705feec0a2	1	1.043645
03e5f106250ceec788795dafc69b8972	4	0.05325
03eaf8e9bafb7260cc65196693fb39fe	1	0.198293
043d7ebe4997ed332f7484583b66d55b	1	0.15556
04452a792ab88f41e85e152f06e1a4ee	1	0.045737
048d8a4a88c6bd756aad2ce90db1e85d	1	0.068212
048ed7ca442cb9f4b68e0f8e660c89de	2	0.019669
04aad511c117e44a4e6eec4ceda83f72	1	0.15556
04f16a050b8995d9c35d861ef386802c	1	0.02831
04fb09efc744030fac5a15f400b16da4	1	0.046294
0521b938e3553f4a093815c24d91161c	1	0.161873
052fdb38ae64fcc2d4d056238c2dcdfe	1	0.034587
05387aae2d3cdc6921819f8cd4c2f30d	2	0.10866
053b73a0d71b696c396e4f4a3f23b06d	1	0.105974
054d6e50f07dfaf4cf420ee7b24e016b	2	0.000101
05880ce10a6105f993dbe2849ea390e5	1	0.218601
