"","Df","SumOfSqs","R2","F","Pr(>F)"
"md$Progression",1,0.170732591574069,0.0452963369831904,2.88682966439146,0.046
"md$patient_age",1,0.0176308634715202,0.00467756932491791,0.298111211275907,0.849
"md$sex",1,0.0868486475836197,0.0230414449356925,1.46847915705599,0.849
"md$ethnicity_details",3,0.0731359960977144,0.0194033997510439,0.412206326324257,0.77
"md$TotalWeeklyAlcoholUnits",1,0.0411132807909471,0.0109075894884625,0.69516333989619,0.689
"md$smoking_status",1,0.0348033675571653,0.00923353327261644,0.588472259212189,0.936
"md$diagnosis",1,0.034860524159798,0.00924869724751892,0.58943869083766,0.669
"md$anatomical_site",4,0.154773949203237,0.0410624175190804,0.654248295119865,0.722
"md$Progression:md$patient_age",1,0.0441770682920145,0.0117204299064153,0.746967348503627,0.603
"md$Progression:md$sex",1,0.014737853625964,0.00391003719966958,0.249194794295819,0.921
"md$patient_age:md$sex",1,0.0609401589642322,0.016167774124459,1.03040583539878,0.382
"md$Progression:md$ethnicity_details",1,0.115159357772663,0.030552438924207,1.94717040891497,0.099
"md$patient_age:md$ethnicity_details",3,0.102869362159432,0.027291832512236,0.579788395995936,0.74
"md$sex:md$ethnicity_details",2,0.0847417604325437,0.0224824756756301,0.716427442394007,0.372
"md$Progression:md$TotalWeeklyAlcoholUnits",1,0.023662428640034,0.00627777820062368,0.400095847546258,0.71
"md$patient_age:md$TotalWeeklyAlcoholUnits",1,0.036407912891945,0.00965922836409788,0.615602691823782,0.544
"md$sex:md$TotalWeeklyAlcoholUnits",1,0.0167408062934171,0.00444143204437897,0.283061691784264,0.914
"md$ethnicity_details:md$TotalWeeklyAlcoholUnits",2,0.118186966205452,0.0313556808275858,0.999181342123282,0.247
"md$Progression:md$smoking_status",1,0.033417356301954,0.00886581652738498,0.565036907063922,0.688
"md$patient_age:md$smoking_status",1,0.0164765595112983,0.00437132585563537,0.278593678721805,0.923
"md$sex:md$smoking_status",1,0.0272807103352166,0.0072377291124799,0.461275513569463,0.729
"md$ethnicity_details:md$smoking_status",1,0.0281152533701536,0.00745913817204473,0.47538637293882,0.651
"md$TotalWeeklyAlcoholUnits:md$smoking_status",1,0.0169019759629461,0.00448419128322814,0.285786826913456,0.684
"md$Progression:md$diagnosis",1,0.0227553671947294,0.00603712959034851,0.384758811637709,0.814
"md$patient_age:md$diagnosis",1,0.0143419248913783,0.00380499503274773,0.242500238760468,0.953
"md$sex:md$diagnosis",1,0.155715558471367,0.0413122318651432,2.63291436777264,0.045
"md$ethnicity_details:md$diagnosis",2,0.110464677272237,0.0293069132280575,0.933895234286822,0.248
"md$TotalWeeklyAlcoholUnits:md$diagnosis",1,0.0258473467449878,0.00685744952084567,0.43703950511916,0.779
"md$smoking_status:md$diagnosis",1,0.0111294251913892,0.00295270041443533,0.188181731993387,0.988
"md$Progression:md$anatomical_site",4,0.195103997183121,0.0517622108450227,0.824728309804335,0.615
