,chao1,shannon,simpson,simpson_e,faith_pd
1035,2.0,0.869137580612638,0.4120707596253901,0.850442477876106,0.9497548988000001
1072,4.0,0.44868704427583156,0.12799711555795934,0.2866962993591069,1.71799583182
1133,8.0,1.395039634586694,0.42071571989569345,0.2157835182019653,2.52498861286
1163,2.0,0.9134601452569628,0.44122448979591844,0.8948137326515706,0.9497548988000001
1167,4.0,0.7032865595534042,0.2284210218728716,0.32401090113526787,1.71799583182
1244,2.0,0.07716658191420905,0.018733687663821996,0.5095456694213935,0.9497548988000001
1314,7.0,1.7460705126988545,0.5843866704969836,0.3437260855612333,2.05954418636
1343,6.0,2.4925587404526897,0.8112244897959184,0.8828828828828829,2.1097769468400003
1347,6.0,1.7417821411253729,0.5658476478427136,0.38388981618665974,1.9527426763199998
1351,5.0,2.3049446189323626,0.7951020408163265,0.9760956175298803,1.94863243222
1365,7.0,1.924452639285207,0.6178479275009825,0.373822760983483,2.22886120484
1368,2.0,0.8366407419411673,0.3911111111111112,0.8211678832116789,1.2488759225
1380,11.0,1.1930349029647331,0.32144158551084956,0.13397386130349795,3.0817572248799996
1386,2.0,0.7219280948873623,0.31999999999999984,0.7352941176470587,1.1121238378
1431,2.0,0.8597744796350539,0.40599552000000005,0.8417444932401857,0.9497548988000001
1441,6.0,1.3264616649609484,0.4173393309747281,0.2860441343080217,2.01431093004
1457,2.0,0.9599069738860562,0.47246803685699024,0.9478098673320652,0.9497548988000001
1466,2.0,0.6840384356390417,0.2975206611570247,0.7117647058823529,0.9497548988000001
1488,3.0,0.25161430142139735,0.06853422344699112,0.35785891626299987,1.3014539205
1493,2.0,0.9629004147713268,0.47450572320499484,0.9514851485148516,0.9497548988000001
1496,2.0,0.7233343116792313,0.32084407855584196,0.7362079667019605,0.9497548988000001
1512,1.0,0.0,0.0,1.0,0.7805825598
1552,2.0,0.7560654884078407,0.3406868580717728,0.7583649835004047,0.9497548988000001
1560,1.0,0.0,0.0,1.0,0.7921582690000001
1574,2.0,0.45583145844082346,0.1733908800900732,0.6048808172531215,0.9497548988000001
1585,3.0,1.1994602933016412,0.4765625,0.6368159203980099,1.19965989132
1607,3.0,0.9158897092726221,0.3680714889506098,0.5274858271227466,1.16706853204
1608,3.0,0.7338674064641365,0.30404200000000003,0.47895610558874724,1.1275092723000002
1630,2.0,0.7276874545656656,0.32346145767695855,0.7390561937286556,1.2488759225
1639,4.0,1.5277318665238087,0.5660770031217481,0.5761390887290168,1.7712583955399999
